model,term,coefficient,standard_error,p_value,ci_low_coef,ci_high_coef,odds_ratio,ci_low_or,ci_high_or,is_contact_term
glm_main,cat__loan_yes,0.01993975163529599,0.05390122557108912,0.7114336627633207,-0.0857047092066081,0.12558421247720009,1.02013987641591,0.9178652283582106,1.1338106459434643,False
glm_main,cat__month_aug,0.5544230902351656,0.11665546177825994,2.0076337843174288e-06,0.32578258654988723,0.7830635939204439,1.7409363318351037,1.385114193678554,2.1881656583520965,False
glm_main,cat__month_dec,0.5916868327707612,0.20325562609005376,0.0036021896412438094,0.19331312597911604,0.9900605395624062,1.8070340101573845,1.2132626380978924,2.6913974034383896,False
glm_main,cat__month_jul,0.10814954524569205,0.09085200863315437,0.23389217868464918,-0.06991711959841258,0.2862162100897967,1.1142143583880446,0.9324711002826498,1.3313802819859701,False
glm_main,cat__month_jun,-0.6407569274165927,0.12123448639192007,1.2551986316183812e-07,-0.8783721544289673,-0.40314170040421815,0.526893452965851,0.41545866406834525,0.6682174059381463,False
glm_main,cat__month_mar,1.5421543969528893,0.14277153354966357,3.384274693109957e-27,1.2623273331779967,1.8219814607277818,4.674650483008336,3.5336358728575425,6.184099868959827,False
glm_main,cat__month_may,-0.41095695692450257,0.07908466081105546,2.0316512845072862e-07,-0.5659600438437375,-0.25595387000526765,0.6630154692114469,0.5678147579380991,0.7741776807808814,False
glm_main,cat__month_nov,-0.36096403138583905,0.11558836600064862,0.0017911478264522693,-0.5875130657789445,-0.13441499699273368,0.6970040682864075,0.5557075758637935,0.8742271876582773,False
glm_main,cat__month_oct,0.09980468598679099,0.14711451161577735,0.4975086243524981,-0.18853445838333205,0.388143830356914,1.104955083786773,0.8281719654799076,1.4742418097656023,False
glm_main,cat__month_sep,0.3456783777129206,0.17180745964798938,0.04421885167968714,0.008941944527542767,0.6824148108982984,1.4129481071297936,1.0089820431442638,1.9786500334736077,False
